UML ID	Group Name	Parent Company	Mill Name	RSPO Certification	Latitude	Longitude	Country	Province	District
PO1000006354	FGV HOLDINGS BERHAD	FGV PALM INDUSTRIES SDN BHD	ARING B	Not Certificated	4.9364	102.4256	Malaysia	Kelantan	Gua Musang
PO1000006356	NBPOL	KULA PALM OIL LTD - HIGATURU OIL PALMS	SANGARA	IP	-8.743386	148.198705	Papua New Guinea	Oro	Ijivitari
PO1000006357	GRUPO OLEOMEX (OLEOFINOS)	OLEOQUÍMICA MEXICANA S.A. de C.V.	JALAPA	MB	17.73921389	-92.783867	Mexico	Tabasco	Jalapa
PO1000006362	SINAR MAS	KAPUASINDO PALM INDUSTRY	KAPUASINDO PALM INDUSTRY	Not Certificated	1.019664	111.879215	Indonesia	Kalimantan Barat	Kapuas Hulu
PO1000006363	KIAN HOE PLANTATIONS BHD	KIAN HOE PLANTATIONS BHD	KIAN HOE PLANTATIONS	Not Certificated	2.006256	103.301389	Malaysia	Johor	Keluang
PO1000006365	SAMPOERNA AGRO	USAHA AGRO INDONESIA	USAHA AGRO INDONESIA	MB	-2.683161	110.975442	Indonesia	Kalimantan Barat	Ketapang
PO1000006366	ANJ AGRO	KAYUNG AGRO LESTARI	KAYUNG AGRO LESTARI	MB	-1.45051	110.232027	Indonesia	Kalimantan Barat	Ketapang
PO1000006370	ASAM JAWA	SAWIT MAS NUGRAHA PERDANA	SAWITMAS NUGRAHA PERDANA	Not Certificated	-2.65525	112.2464556	Indonesia	Kalimantan Tengah	Seruyan
PO1000006373	BUKIT ROTAN PALM OIL MILLS	BUKIT ROTAN PALM OIL MILLS	BUKIT ROTAN	Not Certificated	3.301992	101.370751	Malaysia	Selangor	Kuala Selangor
PO1000006376	SOUTHERN ACIDS BERHAD	WANASARI NUSANTARA	WANASARI NUSANTARA	Not Certificated	-0.287	101.4718	Indonesia	Riau	Kuantan Singingi
PO1000006389	BOUSTEAD PLANTATIONS BERHAD	BOUSTEAD PLANTATIONS BHD	TRONG OIL MILL	MB	4.67356	100.708154	Malaysia	Perak	Larut and Matang
PO1000006502	FGV HOLDINGS BERHAD	FGV PALM INDUSTRIES SDN BHD	KERATONG 09	MB	2.969027	102.958	Malaysia	Pahang	Rompin
PO1000006505	MUSIM MAS	GUNTUNG IDAMAN NUSA	GUNTUNG IDAMAN NUSA 2	IP	0.0530444	103.20761	Indonesia	Riau	Indragiri Hilir
PO1000006576	OLAM INTERNATIONAL	OLAM PALM GABON S.A.	BILALA PALM OIL MILL	IP	-1.6521556	10.8545278	Gabon	Ngounié	Tsamba Mangotsi
PO1000006652	MP EVANS	GUNUNG PELAWAN LESTARI	TENGKALAT	MB	-1.62363	105.988565	Indonesia	Bangka Belitung	Bangka
PO1000006977	SINAR MAS	SINAR KENCANA INTI PERKASA	KASUARI	"IP, MB"	-2.973111	140.029917	Indonesia	Papua	Jayapura
PO1000006983	UNKNOWN	GOLDEN AGRI RESOURCES	SUNGAI MAGALAU	Not Certificated	-2.78526	116.1714	Indonesia	Kalimantan Selatan	Kotra Baru
PO1000006984	SINAR MAS	AGROLESTARI SENTOSA	JALEMO	Not Certificated	-1.3482	113.5022	Indonesia	Kalimantan Tengah	Gunung Mas
PO1000006989	FGV HOLDINGS BERHAD	FGV PALM INDUSTRIES SDN BHD	KECHAU B	MB	4.2391667	102.106667	Malaysia	Pahang	Lipis
PO1000006992	FGV HOLDINGS BERHAD	FGV PALM INDUSTRIES SDN BHD	PALONG TIMOR	MB	2.7388889	102.705	Malaysia	Johor	Segamat
PO1000006998	FGV HOLDINGS BERHAD	FGV PALM INDUSTRIES SDN BHD	SERTING HILIR	MB	2.997778	102.4780556	Malaysia	Negeri Sembilan	Jempol
PO1000007000	FGV HOLDINGS BERHAD	FGV PALM INDUSTRIES SDN BHD	CHIKU	MB	4.9419444	102.2036111	Malaysia	Kelantan	Gua Musang
PO1000007049	RIMBUNAN HIJAU GROUP	RH SELANGAU PALM OIL MILL SDN BHD	RINWOOD PELITA PLANTATION	Not Certificated	2.515988	112.331157	Malaysia	Sarawak	Selangau
PO1000007051	SIME DARBY	SIME DARBY PLANTATION BHD	MOSTYN (SOU 30B)	Not Certificated	4.666954	118.203458	Malaysia	Sabah	Kunak
PO1000007052	FIRST RESOURCES	SUBUR ARUM MAKMUR	SUBUR ARUM MAKMUR II	Not Certificated	0.978389	100.7826	Indonesia	Riau	Rokan Hulu
PO1000007053	AWAN TIMUR GROUP	AWAN TIMUR MANAGEMENT SDN BHD	TUNJUK LAUT	Not Certificated	1.9737	103.979	Malaysia	Johor	Kota Tinggi
PO1000007305	UNKNOWN	KH REGIONAL GROUP INC.	NACIONAL AGRO INDUSTRIAL S.A.	IP	16.227913	-90.152902	Guatemala	Petén	Sayaxché
PO1000007396	MUSIM MAS	MULTI PERSADA GATRA MEGAH	MULTI PERSADA GATRA MEGAH	MB	-0.770833	114.741222	Indonesia	Kalimantan Tengah	Barito Utara
PO1000007432	WILMAR GROUP	AGRO PALINDO SAKTI	AGRO PALINDO SAKTI 2	Not Certificated	0.303	110.195959	Indonesia	Kalimantan Barat	Sanggau
PO1000007433	UNKNOWN	AGROINPLA S.A.	AGROINPLA S.A.	Not Certificated	-0.07265	-79.3715	Ecuador	Santo Domingo de los Tsachilas	La Concordia
PO1000007434	AGROINDUSTRIAS DEL SUR DEL CESAR LIMITADA	AGROINCE LTDA Y CIA SCA	AGROINCE LTDA Y CIA SCA	MB	8.110308	-73.574628	Colombia	Cesar	Río de Oro
PO1000007436	GOODHOPE	AGRO BUKIT	MANGKALAPI	Not Certificated	-3.4520711	115.642476	Indonesia	Kalimantan Selatan	Tanah Bumbu
PO1000007437	MUSIM MAS	SINAR AGRO RAYA	SINAR AGRO RAYA	Not Certificated	0.419917	101.756389	Indonesia	Riau	Pelalawan
PO1000007438	LA FABRIL	EXTRACTORA AGRICOLA RIO MANSO	EXTRACTORA LA COMUNA	Not Certificated	0.32585	-79.3709	Ecuador	Esmeraldas	Quinindé
PO1000007440	SARAWAK LAND CONSOLIDATION AND REHABILITATION AUTHORITY (SALCRA)	LUBOK ANTU PALM OIL MILL SDN BHD	LUBOK ANTU 1	Not Certificated	1.168155	111.761971	Malaysia	Sarawak	Sri Aman
PO1000007441	UNKNOWN	SINAR HALOMOAN	SINAR HALOMOAN	Not Certificated	1.061727	99.834377	Indonesia	Sumatera Utara	Padang Lawas
PO1000007442	UNKNOWN	SULTRA PRIMA LESTARI	SULTRA PRIMA LESTARI	Not Certificated	-3.451764	122.168248	Indonesia	Sulawesi Tenggara	Konawe Utara
PO1000007443	PPA KAPITAL	DUTA MENTARI RAYA	DUTA MENTARI RAYA	Not Certificated	-0.34809	101.399069	Indonesia	Riau	Kuantan Singingi
PO1000007444	KUB AGRO HOLDING SDN BHD	KUB MAJU MILL SDN BHD	KUB MAJU MILL	Not Certificated	2.858111	111.930778	Malaysia	Sarawak	Dalat
PO1000007447	UNKNOWN	OLEODAVILA	AGROPARAISO	Not Certificated	-0.57461	-79.49826	Ecuador	Manabi	El Carmen
PO1000007448	UNKNOWN	SUMBER KENCANA INDO PALMA	SUMBER KENCANA INDO PALMA	Not Certificated	-0.68269	102.5015	Indonesia	Riau	Indragiri Hulu
PO1000007449	MEDCO AGRO	MEDCO PAPUA HIJAU SELARAS	MEDCO PAPUA HIJAU SELARAS	Not Certificated	-0.8104	133.595074	Indonesia	Papua Barat	Manokwari
PO1000007450	UNKNOWN	"THANA PALM PRODUCTS CO., LTD"	"THANA PALM PRODUCTS CO., LTD."	Not Certificated	9.29467	99.143943	Thailand	Surat Thani	Tha Chang
PO1000007453	UNKNOWN	CEMPAKA MAS ABADI GROUP	META EPSI AGRO	Not Certificated	-2.60852	111.780488	Indonesia	Kalimantan Tengah	Kotawaringin Barat
PO1000007457	UNKNOWN	ANUGERAH TANI MAKMUR	ANUGERAH TANI MAKMUR	Not Certificated	0.53622	101.602024	Indonesia	Riau	Siak
PO1000007462	TANJUNG RHU PLANTATION	MITRA ABADIMAS SEJAHTERA	MITRA ABADIMAS SEJAHTERA	Not Certificated	1.18186	109.438	Indonesia	Kalimantan Barat	Sambas
PO1000007463	UNKNOWN	KALIMANTAN AGRO PUSAKA	SUNGAI SEPETI	Not Certificated	-0.829001	109.88604	Indonesia	Kalimantan Barat	Kayong Utara
PO1000007464	UNKNOWN	MITRASARI PRIMA	MITRASARI PRIMA	Not Certificated	0.136306	101.705028	Indonesia	Riau	Pelalawan
PO1000007465	VICHITBHAN GROUP	VICHITBHAN PALMOIL PUBLIC COMPANY LTD	TUNGKA MILL	Not Certificated	10.425073	99.130596	Thailand	Chumphon	Muang Chumphon
PO1000007466	LONSUM	PERUSAHAAN PERKEBUNAN LONDON SUMATRA INDONESIA	KENCANA SARI	Not Certificated	-3.638879	103.448379	Indonesia	Sumatera Selatan	Lahat
PO1000007467	BIMA PALMA	BIMA AGRI SAWIT	MUARA BULAN	Not Certificated	1.263417	117.602556	Indonesia	Kalimantan Timur	Kutai Timur
PO1000007468	UNKNOWN	ASIA SAWIT LESTARI	ASIA SAWIT LESTARI	Not Certificated	-1.83758	103.379028	Indonesia	Jambi	Batang Hari
PO1000007469	UNKNOWN	SURYA GEMILANG AGRO MANDIRI	AGRO JAYA PERDANA	Not Certificated	-1.271232	103.814442	Indonesia	Jambi	Tanjung Jabung T
PO1000007471	UNKNOWN	ASIAN PALM OIL COMPANY	ASIAN PALM OIL COMPANY	Not Certificated	8.38274	98.716065	Thailand	Krabi	Ao Luk
PO1000007472	PROSPER GROUP	TAGAR PROPERTIES SDN BHD	TAGAR	Not Certificated	3.43592	101.474097	Malaysia	Selangor	Hulu Selangor
PO1000007473	UNKNOWN	MULTI AGRINDO SUMATERA	MULTI AGRINDO SUMATERA	Not Certificated	3.348311	98.950331	Indonesia	Sumatera Utara	Serdang Bedagai
PO1000007474	MAKIN	BANYU KAHURIPAN INDONESIA	LALAN	Not Certificated	-2.23413	104.332258	Indonesia	Sumatera Selatan	Musi Banyuasin
PO1000007475	UNKNOWN	NAMHONG PALM OIL CO.	NAMHONG PALM OIL CO.	Not Certificated	8.26238	99.084503	Thailand	Krabi	Khao Phanom
PO1000007477	PTPN III	PERKEBUNAN NUSANTARA VII	BEKRI	"IP, MB"	-5.073927	105.134545	Indonesia	Lampung	Lampung Tengah
PO1000007478	NBPOL	NEW BRITAIN PALM OIL	NUMUNDO	IP	-5.523764	150.0344	Papua New Guinea	West New Britain	Talasea
PO1000007481	SUPERVENTURE	BINA MITRA MAKMUR	BINA MITRA MAKMUR	Not Certificated	-1.49723	102.240672	Indonesia	Jambi	Bungo
PO1000007483	C.I BIOCOSTA S.A	BIOPLANTA PALMERA PARA EL DESARROLLO S.A.	BIOPLANTA PALMERA PARA EL DESARROLLO S.A.	Not Certificated	7.567717	-76.61233	Colombia	Antioquia	Chigorodó
PO1000007485	CILIANDRY ANKY ABADI	BORNEO KETAPANG INDAH	BORNEO KETAPANG INDAH	Not Certificated	-1.751747	115.044117	Indonesia	Kalimantan Tengah	Barito Timur
PO1000007486	UNKNOWN	BUDI NABATI PERKASA	BUDI NABATI PERKASA	Not Certificated	-1.692028	102.160547	Indonesia	Jambi	Bungo
PO1000007489	FGV HOLDINGS BERHAD	FGV PALM INDUSTRIES SDN BHD	CINI 2	Not Certificated	3.395214	102.9681	Malaysia	Pahang	Pekan
PO1000007490	UNKNOWN	GODREJ AGROVET LTD	CHINTAMPALLI	Not Certificated	17.20973	80.94	India	Telangana	Khammam
PO1000007492	J.A. WATTIE (JAWA)	CONDONG GARUT	CONDONG GARUT	Not Certificated	-7.59417	107.66	Indonesia	Jawa Barat	Garut
PO1000007493	UNKNOWN	"CORPORACION AGROINDUSTRIAL DE PALMICULTORES, S.A.(CORAPSA)"	"CORPORACION AGROINDUSTRIAL DE PALMICULTORES, S.A.(CORAPSA)"	Not Certificated	15.70294	-87.566556	Honduras	Atlántida	Tela
PO1000007494	UNKNOWN	COMERCIALIZADORA SHARON PANAMA S.A.	COMERCIALIZADORA SHARON PANAMA S.A.	Not Certificated	8.42464	-82.788639	Panama	Chiriquí	Alanje
PO1000007496	UNKNOWN	DHARMASRAYA SAWIT LESTARI	DHARMASRAYA SAWIT LESTARI	Not Certificated	-1.149817	101.740183	Indonesia	Sumatera Barat	Dharmasraya
